,year,parameter,result,latitude,longitude
4720,2009,PAH,0.18,17.9147,-66.2892
4721,2009,PAH,0.2,17.9317,-66.2834
4722,2009,PAH,0.18,17.9146,-66.2531
4723,2009,PAH,0.19,17.9248,-66.2001
4724,2009,PAH,0.14,17.9158,-66.2499
4725,2009,PAH,0.21,17.9124,-66.2394
4726,2009,PAH,0.23,17.9226,-66.2574
4727,2009,PAH,0.22,17.9167,-66.2179
4728,2009,PAH,0.22,17.9269,-66.3235
4729,2009,PAH,0.28,17.928,-66.2709
4730,2009,PAH,0.7,17.9245,-66.2047
4731,2009,PAH,0.18,17.9329,-66.3299
4732,2009,PAH,0.18,17.9262,-66.3188
4733,2009,PAH,0.18,17.9151,-66.2688
4734,2009,PAH,0.2,17.9044,-66.2554
4735,2009,PAH,0.23,17.9678,-66.3292
4736,2005,PAH,60.5,17.9498,-67.0384
4737,2005,PAH,1.9,17.9194,-66.9613
4738,2005,PAH,12.6,17.9366,-66.98
4739,2005,PAH,122.5,17.9517,-67.0003
4740,2005,PAH,1.8,17.9293,-66.9657
4741,2005,PAH,114.8,17.957,-66.9933
4742,2005,PAH,1.7,17.9171,-66.9587
4743,2005,PAH,40.0,17.9528,-67.0847
4744,2005,PAH,9.1,17.9434,-67.0589
4745,2005,PAH,2.4,17.9237,-66.9862
4746,2005,PAH,9.6,17.9482,-67.0275
4747,2005,PAH,14.4,17.9399,-66.98
4748,2005,PAH,1.3,17.9198,-67.1123
4749,2005,PAH,7.7,17.927,-67.1219
4750,2005,PAH,1.8,17.9474,-67.0121
4751,2005,PAH,11.7,17.938,-66.9709
4752,2005,PAH,1.7,17.9226,-67.102
4753,2005,PAH,51.7,17.9452,-67.038
4754,2005,PAH,19.1,17.9455,-67.0324
4755,2005,PAH,1.2,17.9152,-66.9818
4756,2005,PAH,116.1,17.9555,-66.9931
4757,2005,PAH,24.1,17.9359,-67.0494
4758,2005,PAH,19.8,17.9634,-67.024
4759,2005,PAH,6.2,17.9423,-67.0943
4760,2005,PAH,30.8,17.9426,-67.1058
4761,2005,PAH,0.9,17.9177,-66.9495
4762,2005,PAH,399.7,17.969,-66.9247
4763,2005,PAH,248.5,17.9564,-66.9101
4764,2005,PAH,212.3,17.9639,-67.02
4765,2005,PAH,2.3,17.9213,-66.95100000000001
4766,2005,PAH,1.0,17.9301,-66.9372
4767,2005,PAH,2.6,17.9422,-66.9148
4768,2005,PAH,1.5,17.9344,-67.119
4769,2005,PAH,1.4,17.9188,-67.1185
4770,2005,PAH,1.4,17.9362,-66.9248
4771,2005,PAH,3.2,17.9207,-67.124
4772,2005,PAH,3.5,17.9362,-67.1161
4773,2005,PAH,12.7,17.9334,-67.1051
4774,2005,PAH,44.4,17.9633,-67.0468
4775,2005,PAH,148.8,17.951,-67.0557
4776,2005,PAH,92.5,17.9682,-67.0652
4777,2005,PAH,20.1,17.9353,-67.0615
4778,2005,PAH,113.3,17.9635,-67.0174
4779,2005,PCB,1.71,17.9194,-66.9613
4780,2005,PCB,44.97,17.9517,-67.0003
4781,2005,PCB,0.1,17.9207,-67.124
4782,2005,PCB,10.55,17.9482,-67.0275
4783,2005,PCB,0.45,17.9177,-66.9495
4784,2005,PCB,15.43,17.9366,-66.98
4785,2005,PCB,0.47,17.9344,-67.119
4786,2005,PCB,39.25,17.9639,-67.02
4787,2005,DDT,0.02,17.9423,-67.0943
4788,2005,DDT,0.07,17.9293,-66.9657
4789,2005,PCB,10.4,17.9353,-67.0615
4790,2005,PCB,0.76,17.9198,-67.1123
4791,2005,PCB,34.2,17.9498,-67.0384
4792,2005,PCB,1917.94,17.9564,-66.9101
4793,2005,PCB,13.36,17.938,-66.9709
4794,2005,PCB,5.7,17.9334,-67.1051
4795,2005,DDT,0.24,17.9353,-67.0615
4796,2005,DDT,0.23,17.9422,-66.9148
4797,2005,DDT,0.37,17.9359,-67.0494
4798,2005,PCB,42.0,17.951,-67.0557
4799,2005,PCB,22.66,17.9455,-67.0324
4800,2005,PCB,39.57,17.957,-66.9933
4801,2005,PCB,23.82,17.9399,-66.98
4802,2005,PCB,0.51,17.9226,-67.102
4803,2005,PCB,0.5,17.9152,-66.9818
4804,2005,DDT,0.44,17.9635,-67.0174
4805,2005,DDT,0.19,17.9334,-67.1051
4807,2005,DDT,0.25,17.9634,-67.024
4808,2005,DDT,0.02,17.9198,-67.1123
4809,2005,DDT,0.29,17.9633,-67.0468
4811,2005,PCB,42.94,17.9555,-66.9931
4812,2005,PCB,8.79,17.9426,-67.1058
4813,2005,PCB,9.63,17.9634,-67.024
4814,2005,PCB,6.47,17.9633,-67.0468
4815,2005,PCB,1.59,17.9362,-67.1161
4816,2005,PCB,2.24,17.9171,-66.9587
4817,2005,PCB,8.25,17.9528,-67.0847
4818,2005,PCB,15.16,17.9359,-67.0494
4819,2005,PCB,764.6,17.969,-66.9247
4820,2005,DDT,0.41,17.9639,-67.02
4821,2005,DDT,0.39,17.938,-66.9709
4822,2005,DDT,0.04,17.9171,-66.9587
4823,2005,DDT,1.29,17.957,-66.9933
4824,2005,DDT,0.01,17.9226,-67.102
4825,2005,DDT,1.01,17.9452,-67.038
4827,2005,DDT,0.13,17.927,-67.1219
4829,2005,DDT,0.01,17.9207,-67.124
4830,2005,PCB,1.36,17.9423,-67.0943
4831,2005,PCB,21.89,17.9635,-67.0174
4832,2005,PCB,7.49,17.9422,-66.9148
4833,2005,PCB,0.42,17.9188,-67.1185
4834,2005,PCB,1.61,17.9301,-66.9372
4835,2005,PCB,1.07,17.9362,-66.9248
4836,2005,PCB,1.86,17.9213,-66.95100000000001
4837,2005,PCB,1.28,17.9474,-67.0121
4838,2005,PCB,34.01,17.9452,-67.038
4839,2005,PCB,3.88,17.927,-67.1219
4841,2005,DDT,0.34,17.9177,-66.9495
4842,2005,DDT,1.45,17.9555,-66.9931
4843,2005,DDT,0.32,17.9434,-67.0589
4844,2005,DDT,0.49,17.9455,-67.0324
4845,2005,DDT,1.34,17.9517,-67.0003
4846,2005,PCB,5.83,17.9682,-67.0652
4847,2005,DDT,0.83,17.9399,-66.98
4848,2005,DDT,0.25,17.9482,-67.0275
4849,2005,DDT,0.12,17.9426,-67.1058
4850,2005,DDT,0.93,17.951,-67.0557
4851,2005,PCB,2.55,17.9434,-67.0589
4852,2005,PCB,1.11,17.9237,-66.9862
4853,2005,PCB,2.22,17.9293,-66.9657
4854,2005,DDT,29.35,17.969,-66.9247
4855,2005,DDT,0.01,17.9301,-66.9372
4856,2005,DDT,0.03,17.9362,-67.1161
4858,2005,DDT,46.93,17.9564,-66.9101
4859,2005,DDT,0.41,17.9682,-67.0652
4860,2005,DDT,0.04,17.9474,-67.0121
4862,2005,DDT,0.73,17.9528,-67.0847
4863,2005,DDT,0.4,17.9366,-66.98
4864,2005,DDT,0.91,17.9498,-67.0384
4867,2005,PAH,0.01,17.9194,-66.9613
4871,2005,PAH,0.01,17.9237,-66.9862
4882,2005,PAH,0.08,17.9482,-67.0275
4889,2005,PAH,0.01,17.951,-67.0557
4904,2005,PAH,0.01,17.9639,-67.02
4908,2005,PCB,0.35,17.9362,-67.1161
4909,2005,PCB,5.0,17.9422,-66.9148
4911,2005,PCB,0.19,17.9633,-67.0468
4915,2005,DDT,0.61,17.9422,-66.9148
4916,2005,PCB,0.16,17.9359,-67.0494
4917,2005,PAH,5.0,17.9359,-67.0494
4918,2005,PAH,4.1,17.9422,-66.9148
4919,2005,PAH,3.7,17.9301,-66.9372
4920,2005,PCB,0.22,17.9634,-67.024
4921,2005,PCB,1.3,17.9301,-66.9372
4922,2005,PCB,0.33,17.9635,-67.0174
4923,2005,PCB,0.18,17.9334,-67.1051
4924,2005,PAH,6.8,17.9334,-67.1051
4925,2005,PAH,7.7,17.9634,-67.024
4926,2005,PAH,6.8,17.9362,-67.1161
4928,2005,DDT,0.11,17.9301,-66.9372
4930,2005,PAH,4.5,17.9635,-67.0174
4931,2005,PAH,8.3,17.9633,-67.0468
4943,2012,PAH,17.107,18.30791,-64.87637
4947,2012,PAH,16.637,18.30565,-64.87463000000001
4951,2012,PAH,46.349,18.31287,-64.8682
4955,2012,PAH,40.769,18.30402,-64.84836999999999
4959,2012,PAH,91.166,18.30095,-64.82999000000001
4963,2012,PAH,42.995,18.31737,-64.83652
4964,2010,DDT,1.31,18.31844,-64.87132
4965,2010,PAH,0.1,18.31844,-64.87132
4966,2010,PCB,19.88,18.31844,-64.87132
4967,2010,PAH,187.7,18.31844,-64.87132
4968,2010,DDT,2.43,18.3208,-64.8667
4969,2010,PAH,0.14,18.3208,-64.8667
4970,2010,PCB,65.97,18.3208,-64.8667
4971,2010,PAH,239.2,18.3208,-64.8667
4972,2010,DDT,0.45,18.3166,-64.87623
4973,2010,PAH,0.08,18.3166,-64.87623
4974,2010,PCB,21.76,18.3166,-64.87623
4975,2010,PAH,284.0,18.3166,-64.87623
