,Unnamed: 0,CO AQI,SO2 AQI,O3 AQI,NO2 AQI,Latitude,Longitude,label,Date,State,County,City
217,34,11.16129032,5.35483871,23.38709677,25.80645161,38.102507,-122.237976,3,2000/3/1,,,
218,57,8.166666667,3.8,26.83333333,20.63333333,38.102507,-122.237976,1,2000/4/1,,,
219,79,5.548387097,3.838709677,28.12903226,17.70967742,38.102507,-122.237976,3,2000/5/1,,,
220,105,5.133333333,4.133333333,24.93333333,13.63333333,38.102507,-122.237976,0,2000/6/1,,,
221,130,4.290322581,3.258064516,19.83870968,12.93548387,38.102507,-122.237976,2,2000/7/1,,,
222,156,5.612903226,4.064516129,23.5483871,15.93548387,38.102507,-122.237976,2,2000/8/1,,,
223,185,10,5.533333333,27.96666667,25.06666667,38.102507,-122.237976,1,2000/9/1,,,
224,212,11.06451613,3.129032258,22.64516129,23.93548387,38.102507,-122.237976,2,2000/10/1,,,
225,238,24.96666667,6.533333333,15.03333333,30.2,38.102507,-122.237976,1,2000/11/1,,,
226,252,24,5.310344828,9.586206897,29.51724138,38.102507,-122.237976,1,2000/12/1,,,
227,583,12,4.967741935,8.258064516,24.64516129,38.102507,-122.237976,2,2003/1/1,,,
228,609,8.290322581,3.451612903,29.58064516,21.58064516,38.102507,-122.237976,2,2003/3/1,,,
229,631,6.3,2.466666667,36.83333333,19.3,38.102507,-122.237976,3,2003/4/1,,,
230,653,5.064516129,3.129032258,34.80645161,17.64516129,38.102507,-122.237976,3,2003/5/1,,,
231,677,5.266666667,3.366666667,37.5,15.3,38.102507,-122.237976,0,2003/6/1,,,
232,702,4.129032258,4.064516129,26.12903226,13.93548387,38.102507,-122.237976,2,2003/7/1,,,
233,724,3.290322581,2.548387097,27.48387097,11.77419355,38.102507,-122.237976,2,2003/8/1,,,
234,745,6.666666667,4.433333333,36.83333333,18.66666667,38.102507,-122.237976,3,2003/9/1,,,
235,787,17.23333333,4.566666667,20.23333333,28.86666667,38.102507,-122.237976,3,2003/11/1,,,
236,799,13.22580645,3.483870968,16.64516129,25.29032258,38.102507,-122.237976,2,2003/12/1,,,
237,922,10.32258065,4.903225806,13.58064516,23.35483871,38.102507,-122.237976,1,2005/1/1,,,
238,940,8.451612903,5.451612903,28.87096774,23.12903226,38.102507,-122.237976,2,2005/3/1,,,
239,949,5.266666667,2.233333333,32.4,18.33333333,38.102507,-122.237976,2,2005/4/1,,,
240,958,4.032258065,1.806451613,30.16129032,11.64516129,38.102507,-122.237976,2,2005/5/1,,,
241,967,3.666666667,1.4,26.36666667,9.933333333,38.102507,-122.237976,2,2005/6/1,,,
242,977,3.290322581,2.387096774,26.87096774,10.48387097,38.102507,-122.237976,0,2005/7/1,,,
243,986,3.838709677,2.838709677,28.19354839,12,38.102507,-122.237976,1,2005/8/1,,,
244,994,4.133333333,4.433333333,30.03333333,16,38.102507,-122.237976,1,2005/9/1,,,
245,1010,15.75862069,3.793103448,21.79310345,27.44827586,38.102507,-122.237976,1,2005/11/1,,,
