,State,County,CO AQI,SO2 AQI,O3 AQI,NO2 AQI,Latitude,Longitude,label,Date
182,California,San Diego,13.6,11.055555555555555,32.544444444444444,34.03333333333333,32.77507575925926,-117.09763657407387,0,2000-09-01
183,California,San Francisco,12.0,8.0,20.58620689655172,33.93103448275862,37.76594599999999,-122.3990439999999,1,2000-09-01
184,California,Santa Barbara,3.3445378151260505,1.6974789915966386,37.445378151260506,9.630252100840336,34.55030457983189,-120.23112488445405,1,2000-09-01
185,California,Solano,10.0,5.533333333333332,27.966666666666665,25.066666666666666,38.10250700000003,-122.23797599999992,1,2000-09-01
186,California,Ventura,3.966666666666667,8.8,36.9,21.83333333333333,34.252390000000005,-119.14318199999992,1,2000-09-01
187,Kentucky,Jefferson,3.2666666666666666,26.0,29.7,23.03333333333333,38.16496621212125,-85.74386939393936,2,2000-09-01
188,Kentucky,McCracken,2.607142857142857,6.821428571428571,40.892857142857146,21.857142857142854,37.05822,-88.57250999999998,3,2000-09-01
189,Louisiana,East Baton Rouge,11.4,19.03333333333333,41.56666666666667,29.966666666666665,30.4840673,-91.19691749999996,3,2000-09-01
190,New Jersey,Camden,7.952380952380952,18.19047619047619,26.714285714285715,25.952380952380953,39.93455900000001,-75.125219,2,2000-09-01
191,North Carolina,Forsyth,8.38888888888889,9.888888888888891,38.72222222222222,24.33333333333333,36.08951975000001,-80.25532849999998,3,2000-09-01
192,North Carolina,Mecklenburg,11.9,15.4,34.93333333333333,27.43333333333333,35.23925887500001,-80.80980662499998,3,2000-09-01
193,Oklahoma,Kay,1.5,9.777777777777779,62.77777777777778,15.833333333333336,36.697186,-97.08135,3,2000-09-01
194,Pennsylvania,Allegheny,8.9,31.5,29.35,32.85,40.45439350000001,-79.97552500000003,2,2000-09-01
195,Pennsylvania,Beaver,2.642857142857143,35.107142857142854,28.107142857142854,24.285714285714285,40.74779600000001,-80.31644200000002,2,2000-09-01
196,Pennsylvania,Blair,0.4,12.9,30.966666666666665,20.8,40.53527800000004,-78.37083299999995,3,2000-09-01
197,Pennsylvania,Lancaster,1.9090909090909087,9.090909090909092,35.63636363636363,18.09090909090909,40.04666700000001,-76.28333299999998,3,2000-09-01
198,Pennsylvania,Lawrence,7.633333333333334,37.7,25.4,25.73333333333333,40.995848000000024,-80.34644200000002,2,2000-09-01
199,Pennsylvania,Montgomery,5.466666666666668,7.133333333333334,33.833333333333336,30.36666666666667,40.112221999999974,-75.30916699999995,3,2000-09-01
200,Pennsylvania,Northampton,6.966666666666668,19.233333333333334,34.53333333333333,22.966666666666665,40.62805600000001,-75.34111099999998,2,2000-09-01
201,Pennsylvania,Philadelphia,7.833333333333332,16.533333333333335,22.4,36.0,40.01187210964915,-75.08461068421047,2,2000-09-01
202,Texas,Dallas,5.882352941176472,6.0588235294117645,80.88235294117645,44.058823529411775,32.84057277272728,-96.82800865909095,0,2000-09-01
203,Texas,El Paso,11.466666666666667,5.6,47.63333333333333,43.2,31.78743199679489,-106.44272625961544,0,2000-09-01
204,Texas,Harris,6.3,28.066666666666666,57.33333333333334,33.43333333333333,29.744600634300586,-95.3556731271578,3,2000-09-01
205,Arizona,Maricopa,16.096153846153847,5.115384615384615,29.365384615384613,46.269230769230774,33.50770516039149,-111.99056042332592,0,2000-10-01
206,Arizona,Pima,8.774193548387098,4.806451612903227,30.87096774193548,31.032258064516128,32.202665163541695,-110.9086224000001,0,2000-10-01
207,California,Contra Costa,7.60215053763441,5.311827956989247,27.731182795698924,23.98924731182796,37.96757466666668,-122.00829433333332,2,2000-10-01
208,California,Imperial,16.774193548387096,12.129032258064516,36.032258064516135,38.29032258064515,32.676180000000016,-115.48307000000008,0,2000-10-01
209,California,San Diego,13.129032258064516,9.688172043010752,31.39784946236559,33.752688172043015,32.77507575925926,-117.09763657407385,0,2000-10-01
210,California,San Francisco,9.35483870967742,6.03225806451613,21.677419354838705,29.225806451612907,37.76594599999999,-122.39904399999986,2,2000-10-01
211,California,Santa Barbara,3.612903225806452,1.435483870967742,36.145161290322584,10.072580645161288,34.55068454166664,-120.23445980208359,0,2000-10-01
212,California,Solano,11.06451612903226,3.129032258064516,22.64516129032258,23.935483870967737,38.10250700000003,-122.23797599999992,2,2000-10-01
213,California,Ventura,4.25,4.791666666666667,37.708333333333336,25.5,34.252390000000005,-119.14318199999997,0,2000-10-01
214,Kentucky,Jefferson,12.225806451612904,30.12903225806452,29.806451612903228,29.548387096774192,38.16496621212125,-85.74386939393936,3,2000-10-01
