State,County,latitude,longitude,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Date Local
Ohio,Franklin,40.05836821,-83.00553593,18.83735127,45.42165071,0.285589352,2.128825985,2020/5/1
Tennessee,Shelby,35.1743079,-89.9072067,18.99042471,24.85379468,0.442967862,4.194780188,2020/5/1
Vermont,Rutland,43.608056,-72.982778,20.94204892,31.50477784,0.712676276,5.023441202,2020/5/1
Alabama,Jefferson,33.5472339,-86.8181503,21.40600988,35.31218054,6.432958291,6.004140841,2020/6/1
Alaska,Fairbanks North Star ,64.84569,-147.727413,29.91993415,18.41457172,13.63914555,7.378057929,2020/6/1
Arizona,Maricopa,33.48651643,-112.0561928,26.37004148,57.57479357,1.105802081,1.662605841,2020/6/1
Arizona,Pima,32.20266516,-110.9086224,22.55527741,33.16949853,0,4.178330513,2020/6/1
Arkansas,Pulaski,34.776072,-92.27611725,17.65735124,40.26954137,1.232094937,4.219847726,2020/6/1
California,Alameda,37.78218989,-122.2344154,24.4552159,24.53538131,0.158340355,7.500745287,2020/6/1
California,Contra Costa,37.96911412,-122.0038063,13.36002022,23.78887388,1.296026106,6.023963661,2020/6/1
California,Fresno,36.79918777,-119.8213052,22.88172043,34.03659476,0.259524582,7.546595897,2020/6/1
California,Humboldt,40.75949649,-124.1856446,7.225806452,28.41418716,0.810964021,5.087957442,2020/6/1
California,Imperial,32.67618,-115.48307,26.68,29.91747342,1.539138906,8.16,2020/6/1
California,Kern,35.34713623,-119.0342155,48.44967216,43.58452185,0,13.66893423,2020/6/1
California,Los Angeles,33.94209095,-118.2778357,30.03919745,21.54779077,1.216334763,6.956516149,2020/6/1
California,Orange,33.67464,-117.92568,12.54255759,40.54187733,0,3.059833295,2020/6/1
California,Riverside,33.99958,-117.41601,25.79821345,26.76557821,0.267829688,6.822580645,2020/6/1
California,Sacramento,38.58111066,-121.3590663,11.11699061,27.26433145,0.240875197,5.806451613,2020/6/1
California,San Bernardino,34.39846532,-117.3711114,22.99805107,24.96883425,0.744524187,5.338238905,2020/6/1
California,San Diego,32.78409326,-117.0375897,16.36091449,38.82427531,0,5.936164438,2020/6/1
California,San Francisco,37.765946,-122.399044,28.77703033,22.30146859,5.709677419,10.29032258,2020/6/1
California,Santa Barbara,34.56687289,-120.2907027,1.527004544,41.7340358,0.290390816,2.3125,2020/6/1
California,Santa Clara,37.343316,-121.8723405,22.3558035,30.16964908,0.239381966,6.479842647,2020/6/1
