State,Date Local,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Latitude,Longitude
Florida,2018-02-28,0.2485550748538011,0.3328654970760231,5.867836257309941,3.778947368421053,0.6828133093632957,2.10432584269663,10.296816479400748,2.3029962546816485,0.027864604601006496,0.034327102803738234,10.606398274622574,31.76695422957105,6.585080660690571,14.423505976095626,10.87915006640106,13.204515272244358,28.32425617447188,-82.26856240048936
Florida,2018-03-31,0.25513507085828346,0.3432634730538925,5.505988023952096,3.8747504990019963,0.8394239644212521,2.717662871600252,10.604522454142948,3.166666666666667,0.04012791389070336,0.04842782495101252,10.864249945569345,46.646091878946216,8.787738379699249,20.666040100250626,9.727443609022556,19.09649122807018,28.3341881743395,-82.27347156241856
Florida,2018-04-30,0.24607983486238547,0.318501529051988,5.068807339449541,3.581039755351682,0.7635258143631436,2.320596205962059,9.8550135501355,2.6178861788617884,0.038894462178172724,0.04717053998632947,11.10663021189337,47.09318751424015,6.8043889261363635,16.438005050505044,9.095959595959595,15.095328282828282,28.315534888503233,-82.28641839541568
Florida,2018-05-31,0.249465483870968,0.3108064516129033,5.103225806451613,3.45,0.7218917029569891,1.7397177419354866,9.761424731182794,1.8366935483870968,0.03231077280818864,0.03936059190031148,10.333444592790388,38.59935469514909,5.7936171564380325,13.211371841155241,9.775571600481348,12.093261131167267,28.321384778708598,-82.30390186968447
Florida,2018-06-30,0.26694992429577463,0.3498239436619715,5.783450704225352,3.9559859154929575,0.7987630835249047,2.741992337164749,9.833333333333334,3.189272030651341,0.024952547504025813,0.033211295146077686,9.931446974925235,30.922935357717968,6.934209916666673,15.030864197530862,9.829012345679011,13.773456790123456,28.32025425450473,-82.3004474593179
Florida,2018-07-31,0.301673525925926,0.37481481481481516,5.114814814814815,4.237037037037037,0.6988773506637169,2.000221238938052,9.460176991150442,2.1780973451327434,0.02674992528735626,0.035421308576480834,9.90815649867374,33.09449602122016,6.4223615139949075,14.541412213740456,9.601781170483461,13.345419847328246,28.37890856213522,-82.32640459371947
Florida,2018-08-31,0.2831492826855124,0.3618374558303892,6.003533568904594,4.127208480565371,0.6481440657894734,2.0344298245614043,9.918859649122806,2.2214912280701755,0.021130136928539725,0.02841600088770527,10.086107412339103,26.29283177984909,4.577354334123221,10.546919431279619,9.610584518167457,9.5434439178515,28.38456531050723,-82.33480475087495
Florida,2018-09-30,0.32166384285714283,0.39785714285714235,5.732142857142857,4.4678571428571425,0.6060338934426229,2.0647540983606545,9.880562060889929,2.259953161592506,0.02226352255985268,0.030151818600368245,9.898941068139962,27.908379373848987,5.096499108148143,11.46414814814814,9.11037037037037,10.418518518518516,28.38047700530141,-82.32710862456638
Florida,2018-10-31,0.2778811444866921,0.3619771863117868,6.144486692015209,4.068441064638783,0.7315146845238094,2.186071428571429,10.116666666666667,2.460714285714286,0.027723184049800304,0.03533180643645753,10.487667371388302,32.84660559079163,5.94688908569501,12.897705802968948,9.688933873144398,11.796896086369772,28.274084288431688,-82.15929960719667
Florida,2018-11-30,0.28559837710437685,0.37912457912457875,6.474747474747475,4.2592592592592595,0.7683881834763948,2.0886266094420587,11.03969957081545,2.2993562231759657,0.02530887567440763,0.0330409336148251,10.55008210180624,30.57283603096411,7.377144517283943,15.450432098765418,11.572222222222223,14.169135802469137,28.31908265026359,-82.24446449933231
